Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
WAS Wizards v BOS Celtics,WAS Wizards,BOS Celtics,2024-11-23T00:00:00Z,10.554,1.069
PHI 76ers v BKN Nets,PHI 76ers,BKN Nets,2024-11-23T00:10:00Z,1.551,2.603
MIL Bucks v IND Pacers,MIL Bucks,IND Pacers,2024-11-23T00:40:00Z,1.468,2.861
NOP Pelicans v GSW Warriors,NOP Pelicans,GSW Warriors,2024-11-23T00:40:00Z,4.905,1.203
CHI Bulls v ATL Hawks,CHI Bulls,ATL Hawks,2024-11-23T01:00:00Z,2.044,1.863
HOU Rockets v POR Trail Blazers,HOU Rockets,POR Trail Blazers,2024-11-23T01:10:00Z,1.135,6.461
DEN Nuggets v DAL Mavericks,DEN Nuggets,DAL Mavericks,2024-11-23T03:10:00Z,1.704,2.263
LA Clippers v SAC Kings,LA Clippers,SAC Kings,2024-11-23T03:40:00Z,2.333,1.666
