Visitor/Neutral,Home/Neutral,AwayOdds,HomeOdds,Cutoff Date
Portland Trail Blazers,Miami Heat,-173,+153,2025-01-12
New York Knicks,Milwaukee Bucks,+157,-177,2025-01-12
Dallas Mavericks,DEN Nuggets,-225,+196,2025-01-12
Chicago Bulls,Sacramento Kings,-162,+143,2025-01-12
Washington Wizards,Oklahoma City Thunder,-1351,+900,2025-01-12
Boston Celtics,New Orleans Pelicans,+791,-1136,2025-01-12
Cleveland Cavaliers,Indiana Pacers,+318,-389,2025-01-12
Orlando Magic,Philadelphia 76ers,-107,-103,2025-01-12
Utah Jazz,Brooklyn Nets,+159,-180,2025-01-13
Phoenix Suns,Charlotte Hornets,+247,-290,2025-01-13
Washington Wizards,Minnesota Timberwolves,-925,+657,2025-01-14
New York Knicks,Detroit Pistons,+247,-291,2025-01-14
Toronto Raptors,GS Warriors,-220,+192,2025-01-14
Houston Rockets,Memphis Grizzlies,+133,-149,2025-01-14
LA Clippers,Miami Heat,+213,-247,2025-01-14
Los Angeles Lakers,San Antonio Spurs,+146,-165,2025-01-14
Philadelphia 76ers,Oklahoma City Thunder,-636,+486,2025-01-15
Indiana Pacers,Cleveland Cavaliers,-334,+279,2025-01-15
Atlanta Hawks,Phoenix Suns,-145,+129,2025-01-15
Milwaukee Bucks,Sacramento Kings,+121,-136,2025-01-15
Chicago Bulls,New Orleans Pelicans,+104,-116,2025-01-15
Dallas Mavericks,DEN Nuggets,-156,+139,2025-01-15
Portland Trail Blazers,Brooklyn Nets,+192,-220,2025-01-15
Philadelphia 76ers,New York Knicks,0,0,2025-01-16
Toronto Raptors,Boston Celtics,-1030,+728,2025-01-16
New Orleans Pelicans,Dallas Mavericks,-132,+118,2025-01-16
Chicago Bulls,Atlanta Hawks,+116,-130,2025-01-16
Milwaukee Bucks,Orlando Magic,+190,-216,2025-01-16
Utah Jazz,Charlotte Hornets,-198,+174,2025-01-16
DEN Nuggets,Houston Rockets,+105,-117,2025-01-16
San Antonio Spurs,Memphis Grizzlies,-139,+124,2025-01-16
Minnesota Timberwolves,GS Warriors,+204,-236,2025-01-16
Los Angeles Lakers,Miami Heat,+170,-194,2025-01-16
LA Clippers,Brooklyn Nets,+626,-884,2025-01-16
Detroit Pistons,Indiana Pacers,+109,-121,2025-01-17
Washington Wizards,Phoenix Suns,-632,+482,2025-01-17
Oklahoma City Thunder,Cleveland Cavaliers,+115,-128,2025-01-17
Portland Trail Blazers,LA Clippers,-256,+220,2025-01-17
Sacramento Kings,Houston Rockets,+151,-170,2025-01-17
Boston Celtics,Orlando Magic,+718,-1010,2025-01-18
