Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Date,Start (ET),Attend.,LOG,Arena
Indiana Pacers,120,Oklahoma City Thunder,114,-207,181,2024-12-26,7:00p,17274,2:11,Gainbridge Fieldhouse
Atlanta Hawks,133,Chicago Bulls,141,217,-251,2024-12-26,7:30p,17760,2:14,State Farm Arena
Memphis Grizzlies,126,Toronto Raptors,155,495,-653,2024-12-26,8:00p,17196,2:12,FedEx Forum
Milwaukee Bucks,111,Brooklyn Nets,105,392,-492,2024-12-26,8:00p,17957,2:16,Fiserv Forum
New Orleans Pelicans,128,Houston Rockets,111,-301,255,2024-12-26,8:00p,16052,2:03,Smoothie King Center
Portland Trail Blazers,120,Utah Jazz,122,107,-119,2024-12-26,10:00p,16934,2:07,Moda Center
Sacramento Kings,114,Detroit Pistons,113,192,-221,2024-12-26,10:00p,17832,2:22,Golden 1 Center
Orlando Magic,108,New York Knicks,85,-269,230,2024-12-27,7:00p,18961,2:23,Kia Center
Brooklyn Nets,96,San Antonio Spurs,87,-273,233,2024-12-27,7:30p,17990,2:20,Barclays Center
Boston Celtics,105,Indiana Pacers,142,505,-671,2024-12-27,7:30p,19156,2:08,TD Garden
New Orleans Pelicans,132,Memphis Grizzlies,124,-387,317,2024-12-27,8:00p,17328,2:24,Smoothie King Center
Houston Rockets,113,Minnesota Timberwolves,112,103,-115,2024-12-27,8:00p,18055,2:12,Toyota Center
Phoenix Suns,98,Dallas Mavericks,89,100,-111,2024-12-27,9:00p,17071,2:20,Footprint Center
Charlotte Hornets,106,Oklahoma City Thunder,94,-649,493,2024-12-28,6:00p,19325,2:09,Spectrum Center
Washington Wizards,136,New York Knicks,132,-628,481,2024-12-28,7:00p,20385,2:28,Capital One Arena
Chicago Bulls,111,Milwaukee Bucks,116,-170,151,2024-12-28,8:00p,21511,2:10,United Center
Utah Jazz,114,Philadelphiao 76ers,111,-249,214,2024-12-28,9:30p,18175,2:31,Delta Center
Portland Trail Blazers,122,Dallas Mavericks,126,-197,173,2024-12-28,10:00p,19335,2:17,Moda Center
Los Angeles Lakers,122,Sacramento Kings,132,-103,-107,2024-12-28,10:30p,18997,2:15,Crypto.com Arena
Orlando Magic,101.0,Brooklyn Nets,102.0,269,-319,2024-12-29,3:30p,19397.0,2:26,Kia Center
Boston Celtics,123.0,Indiana Pacers,114.0,471,-613,2024-12-29,6:00p,19156.0,2:13,TD Garden
Toronto Raptors,136.0,Atlanta Hawks,107.0,-107,-103,2024-12-29,6:00p,19359.0,2:18,Scotiabank Arena
Oklahoma City Thunder,106.0,Memphis Grizzlies,130.0,217,-251,2024-12-29,7:00p,18203.0,2:08,Paycom Center
Houston Rockets,104.0,Miami Heat,100.0,298,-359,2024-12-29,7:00p,18055.0,2:19,Toyota Center
Minnesota Timberwolves,110.0,San Antonio Spurs,112.0,210,-243,2024-12-29,9:00p,18978.0,2:20,Target Center
Charlotte Hornets,115.0,Chicago Bulls,108.0,-204,180,2024-12-30,7:00p,19197.0,2:24,Spectrum Center
Washington Wizards,126.0,New York Knicks,106.0,-689,517,2024-12-30,7:00p,20385.0,2:10,Capital One Arena
Sacramento Kings,100.0,Dallas Mavericks,110.0,153,-173,2024-12-30,10:00p,16844.0,2:19,Golden 1 Center
Portland Trail Blazers,125.0,Philadelphia 76ers,103.0,-248,214,2024-12-30,10:00p,16721.0,2:27,Moda Center
Boston Celtics,71.0,Toronto Raptors,125.0,850,-1249,2024-12-31,3:00p,19156.0,1:59,TD Garden
Indiana Pacers,120.0,Milwaukee Bucks,112.0,-124,111,2024-12-31,3:00p,17274.0,2:24,Gainbridge Fieldhouse
Oklahoma City Thunder,105.0,Minnesota Timberwolves,113.0,231,-270,2024-12-31,8:00p,18203.0,2:09,Paycom Center
Los Angeles Lakers,122.0,Cleveland Cavaliers,110.0,-190,167,2024-12-31,9:00p,18997.0,2:03,Crypto.com Arena
Phoenix Suns,117.0,Memphis Grizzlies,112.0,156,-176,2024-12-31,9:00p,17071.0,2:27,Footprint Center
Washington Wizards,107.0,Chicago Bulls,125.0,-224,195,2025-01-01,7:00p,16298.0,2:12,Capital One Arena
Detroit Pistons,96.0,Orlando Magic,105.0,111,-124,2025-01-01,7:00p,19399.0,2:17,Little Caesars Arena
Miami Heat,108.0,New Orleans Pelicans,119.0,300,-362,2025-01-01,7:30p,20013.0,2:10,Kaseya Center
Toronto Raptors,113.0,Brooklyn Nets,130.0,114,-127,2025-01-01,7:30p,19104.0,2:10,Scotiabank Arena
New York Knicks,103.0,Utah Jazz,119.0,589,-806,2025-01-01,7:30p,19812.0,2:06,Madison Square Garden (IV)
Houston Rockets,99.0,Dallas Mavericks,110.0,173,-196,2025-01-01,8:00p,18055.0,2:17,Toyota Center
Sacramento Kings,107.0,Philadelphia 76ers,113.0,218,-253,2025-01-01,10:00p,16024.0,2:18,Golden 1 Center
Minnesota Timberwolves,118.0,Boston Celtics,115.0,-181,160,2025-01-02,7:30p,18978.0,2:11,Target Center
Miami Heat,128.0,Indiana Pacers,115.0,103,-115,2025-01-02,7:30p,19959.0,2:05,Kaseya Center
Milwaukee Bucks,113.0,Brooklyn Nets,110.0,589,-806,2025-01-02,8:00p,17341.0,2:27,Fiserv Forum
Los Angeles Lakers,106.0,Portland Trail Blazers,114.0,338,-416,2025-01-02,10:30p,17812.0,2:09,Crypto.com Arena
Detroit Pistons,94.0,Charlotte Hornets,98.0,228,-265,2025-01-03,7:00p,18866.0,2:22,Little Caesars Arena
Toronto Raptors,106.0,Orlando Magic,97.0,-114,103,2025-01-03,7:30p,19278.0,2:07,Scotiabank Arena
New Orleans Pelicans,120.0,Washington Wizards,132.0,244,-286,2025-01-03,8:00p,17307.0,2:17,Smoothie King Center
New Orleans Pelicans,110.0,Washington Wizards,98.0,244,-286,2025-01-05,6:00p,15451.0,2:08,Capital One Arena
Houston Rockets,109.0,Boston Celtics,86.0,-125,112,2025-01-03,8:00p,18055.0,2:01,Toyota Center
Oklahoma City Thunder,107.0,New York Knicks,117.0,159,-180,2025-01-03,8:00p,,2:13,Paycom Center
Dallas Mavericks,134.0,Cleveland Cavaliers,122.0,-278,238,2025-01-03,8:30p,20231.0,2:10,American Airlines Center
Sacramento Kings,133.0,Memphis Grizzlies,138.0,131,-147,2025-01-03,10:00p,16601.0,2:25,Golden 1 Center
Los Angeles Lakers,102.0,Atlanta Hawks,119.0,127,-142,2025-01-03,10:30p,18997.0,2:10,Crypto.com Arena
Brooklyn Nets,123.0,Philadelphia 76ers,94.0,-306,259,2025-01-04,6:00p,17926.0,2:16,Barclays Center
Indiana Pacers,108.0,Phoenix Suns,126.0,117,-130,2025-01-04,7:00p,17274.0,2:07,Gainbridge Fieldhouse
