Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
ATL Hawks v MIA Heat,MIA Heat,ATL Hawks,2024-12-28T20:10:00Z,0,0
CHA Hornets v OKC Thunder,OKC Thunder,CHA Hornets,2024-12-28T23:10:00Z,-649,493
WAS Wizards v NY Knicks,NY Knicks,WAS Wizards,2024-12-29T00:10:00Z,-628,481
CHI Bulls v MIL Bucks,MIL Bucks,CHI Bulls,2024-12-29T01:10:00Z,-170,151
GS Warriors v PHX Suns,PHX Suns,GS Warriors,2024-12-29T01:40:00Z,213,-246
DEN Nuggets v DET Pistons,DET Pistons,DEN Nuggets,2024-12-29T02:10:00Z,0,0
UTA Jazz v PHI 76ers,PHI 76ers,UTA Jazz,2024-12-29T02:40:00Z,-249,214
POR Trail Blazers v DAL Mavericks,DAL Mavericks,POR Trail Blazers,2024-12-29T03:10:00Z,-197,173
LA Lakers v SAC Kings,SAC Kings,LA Lakers,2024-12-29T03:40:00Z,-103,-107
