Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
MIL Bucks v ATL Hawks,MIL Bucks,ATL Hawks,2024-12-14T21:40:00Z,1.591,2.503
OKC Thunder v HOU Rockets,OKC Thunder,HOU Rockets,2024-12-15T01:40:00Z,1.432,3.002
IND Pacers v NO Pelicans,IND Pacers,NO Pelicans,2024-12-15T22:00:00Z,1.37,2.93
ORL Magic v NY Knicks,ORL Magic,NY Knicks,2024-12-15T23:00:00Z,2.46,1.51
WAS Wizards v BOS Celtics,WAS Wizards,BOS Celtics,2024-12-15T23:00:00Z,6.74,1.08
SA Spurs v MIN Timberwolves,SA Spurs,MIN Timberwolves,2024-12-16T00:00:00Z,2.44,1.51
PHX Suns v POR Trail Blazers,PHX Suns,POR Trail Blazers,2024-12-16T01:00:00Z,1.22,3.99
GS Warriors v DAL Mavericks,GS Warriors,DAL Mavericks,2024-12-16T01:30:00Z,1.96,1.79
LA Lakers v MEM Grizzlies,LA Lakers,MEM Grizzlies,2024-12-16T02:30:00Z,2.27,1.59
