Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
DET Pistons v UTA Jazz,UTA Jazz,DET Pistons,2024-12-19T13:59:17Z,146,-196
ORL Magic v OKC Thunder,OKC Thunder,ORL Magic,2024-12-20T00:00:00Z,-285,204
WAS Wizards v CHA Hornets,CHA Hornets,WAS Wizards,2024-12-20T00:00:00Z,-185,138
BOS Celtics v CHI Bulls,CHI Bulls,BOS Celtics,2024-12-20T00:30:00Z,606,-1249
TOR Raptors v BKN Nets,BKN Nets,TOR Raptors,2024-12-20T00:30:00Z,135,-181
HOU Rockets v NO Pelicans,NO Pelicans,HOU Rockets,2024-12-20T01:00:00Z,283,-416
MEM Grizzlies v GS Warriors,GS Warriors,MEM Grizzlies,2024-12-20T01:00:00Z,106,-142
SA Spurs v ATL Hawks,ATL Hawks,SA Spurs,2024-12-20T01:00:00Z,-101,-131
DAL Mavericks v LA Clippers,LA Clippers,DAL Mavericks,2024-12-20T01:30:00Z,142,-192
PHX Suns v IND Pacers,IND Pacers,PHX Suns,2024-12-20T02:00:00Z,192,-270
MIN Timberwolves v NY Knicks,NY Knicks,MIN Timberwolves,2024-12-20T02:30:00Z,104,-138
POR Trail Blazers v DEN Nuggets,DEN Nuggets,POR Trail Blazers,2024-12-20T03:00:00Z,-384,258
SAC Kings v LA Lakers,LA Lakers,SAC Kings,2024-12-20T03:00:00Z,148,-200
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:00:00Z,0,0
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25T19:30:00Z,0,0
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:00:00Z,0,0
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:00:00Z,0,0
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26T03:30:00Z,0,0
