Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
BOS Celtics v TOR Raptors,BOS Celtics,TOR Raptors,2024-12-31T20:10:00Z,1.08,9.506
IND Pacers v MIL Bucks,IND Pacers,MIL Bucks,2024-12-31T20:10:00Z,2.114,1.801
SA Spurs v LA Clippers,SA Spurs,LA Clippers,2025-01-01T00:10:00Z,1.587,2.503
OKC Thunder v MIN Timberwolves,OKC Thunder,MIN Timberwolves,2025-01-01T01:10:00Z,1.37,3.311
LA Lakers v CLE Cavaliers,LA Lakers,CLE Cavaliers,2025-01-01T02:10:00Z,2.672,1.524
PHX Suns v MEM Grizzlies,PHX Suns,MEM Grizzlies,2025-01-01T02:10:00Z,1.567,2.563
