Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
MIA Heat v TOR Raptors,MIA Heat,TOR Raptors,2024-12-13T00:30:00Z,1.222,4.638
BOS Celtics v DET Pistons,BOS Celtics,DET Pistons,2024-12-13T00:40:00Z,N/A,N/A
NO Pelicans v SAC Kings,NO Pelicans,SAC Kings,2024-12-13T01:10:00Z,3.272,1.377
CLE Cavaliers v WAS Wizards,CLE Cavaliers,WAS Wizards,2024-12-14T00:10:00Z,1.03,9.77
PHI 76ers v IND Pacers,PHI 76ers,IND Pacers,2024-12-14T00:10:00Z,1.42,2.72
MIN Timberwolves v LA Lakers,MIN Timberwolves,LA Lakers,2024-12-14T01:00:00Z,1.33,3.16
CHI Bulls v CHA Hornets,CHI Bulls,CHA Hornets,2024-12-14T01:10:00Z,1.45,2.62
MEM Grizzlies v BKN Nets,MEM Grizzlies,BKN Nets,2024-12-14T01:10:00Z,1.17,4.59
DEN Nuggets v LA Clippers,DEN Nuggets,LA Clippers,2024-12-14T02:00:00Z,1.35,3.02
UTA Jazz v PHX Suns,UTA Jazz,PHX Suns,2024-12-14T02:40:00Z,2.6,1.46
POR Trail Blazers v SA Spurs,POR Trail Blazers,SA Spurs,2024-12-14T03:10:00Z,2.23,1.61
MIL Bucks v ATL Hawks,MIL Bucks,ATL Hawks,2024-12-14T21:30:00Z,1.59,2.26
OKC Thunder v HOU Rockets,OKC Thunder,HOU Rockets,2024-12-15T01:30:00Z,1.45,2.64
