Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
IND Pacers v GS Warriors,IND Pacers,GS Warriors,2025-01-11T00:00:00Z,1.334,3.531
ORL Magic v MIL Bucks,ORL Magic,MIL Bucks,2025-01-11T00:10:00Z,3.112,1.409
PHI 76ers v NO Pelicans,PHI 76ers,NO Pelicans,2025-01-11T00:10:00Z,1.508,2.733
BOS Celtics v SAC Kings,BOS Celtics,SAC Kings,2025-01-11T00:40:00Z,1.217,4.708
NY Knicks v OKC Thunder,NY Knicks,OKC Thunder,2025-01-11T00:40:00Z,2.623,1.545
CHI Bulls v WAS Wizards,CHI Bulls,WAS Wizards,2025-01-11T01:10:00Z,1.157,5.865
DEN Nuggets v BKN Nets,DEN Nuggets,BKN Nets,2025-01-11T02:10:00Z,1.102,7.87
