Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
SAC Kings v IND Pacers,IND Pacers,SAC Kings,2024-12-22T23:10:00Z,116,-130
TOR Raptors v HOU Rockets,HOU Rockets,TOR Raptors,2024-12-22T23:10:00Z,-318,268
NO Pelicans v DEN Nuggets,DEN Nuggets,NO Pelicans,2024-12-23T00:10:00Z,-446,359
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:00:00Z,289,-434
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25T19:30:00Z,150,-204
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:00:00Z,303,-454
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:00:00Z,145,-196
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26T03:30:00Z,-126,-104
