Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
DET Pistons v BOS Celtics,DET Pistons,BOS Celtics,2025-02-27T00:00:00Z,2.543,1.577
IND Pacers v TOR Raptors,IND Pacers,TOR Raptors,2025-02-27T00:00:00Z,1.209,4.828
NY Knicks v PHI 76ers,NY Knicks,PHI 76ers,2025-02-27T00:00:00Z,1.223,4.618
WAS Wizards v POR Trail Blazers,WAS Wizards,POR Trail Blazers,2025-02-27T00:00:00Z,3.052,1.423
BKN Nets v OKC Thunder,BKN Nets,OKC Thunder,2025-02-27T00:30:00Z,10.384,1.07
MIA Heat v ATL Hawks,MIA Heat,ATL Hawks,2025-02-27T00:30:00Z,1.652,2.364
CHI Bulls v LA Clippers,CHI Bulls,LA Clippers,2025-02-27T01:00:00Z,4.07,1.269
UTA Jazz v SAC Kings,UTA Jazz,SAC Kings,2025-02-27T02:00:00Z,4.538,1.229
HOU Rockets v SA Spurs,HOU Rockets,SA Spurs,2025-02-27T02:30:00Z,1.27,4.058
ORL Magic v GS Warriors,ORL Magic,GS Warriors,2025-02-28T00:00:00Z,N/A,N/A
MIL Bucks v DEN Nuggets,MIL Bucks,DEN Nuggets,2025-02-28T01:00:00Z,N/A,N/A
DAL Mavericks v CHA Hornets,DAL Mavericks,CHA Hornets,2025-02-28T01:30:00Z,N/A,N/A
PHX Suns v NO Pelicans,PHX Suns,NO Pelicans,2025-02-28T02:00:00Z,N/A,N/A
LA Lakers v MIN Timberwolves,LA Lakers,MIN Timberwolves,2025-02-28T03:30:00Z,N/A,N/A
DET Pistons v DEN Nuggets,DET Pistons,DEN Nuggets,2025-03-01T00:00:00Z,N/A,N/A
ATL Hawks v OKC Thunder,ATL Hawks,OKC Thunder,2025-03-01T00:30:00Z,N/A,N/A
BKN Nets v POR Trail Blazers,BKN Nets,POR Trail Blazers,2025-03-01T00:30:00Z,N/A,N/A
BOS Celtics v CLE Cavaliers,BOS Celtics,CLE Cavaliers,2025-03-01T00:30:00Z,N/A,N/A
CHI Bulls v TOR Raptors,CHI Bulls,TOR Raptors,2025-03-01T01:00:00Z,N/A,N/A
MEM Grizzlies v NY Knicks,MEM Grizzlies,NY Knicks,2025-03-01T01:00:00Z,N/A,N/A
MIA Heat v IND Pacers,MIA Heat,IND Pacers,2025-03-01T01:00:00Z,N/A,N/A
PHX Suns v NO Pelicans,PHX Suns,NO Pelicans,2025-03-01T02:00:00Z,N/A,N/A
UTA Jazz v MIN Timberwolves,UTA Jazz,MIN Timberwolves,2025-03-01T02:30:00Z,N/A,N/A
LA Lakers v LA Clippers,LA Lakers,LA Clippers,2025-03-01T03:00:00Z,N/A,N/A
CHA Hornets v WAS Wizards,CHA Hornets,WAS Wizards,2025-03-01T23:00:00Z,N/A,N/A
DET Pistons v BKN Nets,DET Pistons,BKN Nets,2025-03-02T00:00:00Z,N/A,N/A
HOU Rockets v SAC Kings,HOU Rockets,SAC Kings,2025-03-02T01:00:00Z,N/A,N/A
MEM Grizzlies v SA Spurs,MEM Grizzlies,SA Spurs,2025-03-02T01:00:00Z,N/A,N/A
DAL Mavericks v MIL Bucks,DAL Mavericks,MIL Bucks,2025-03-02T01:30:00Z,N/A,N/A
