Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
DET Pistons v NO Pelicans,DET Pistons,NO Pelicans,2025-03-23T19:00:00Z,1.112,7.382
UTA Jazz v CLE Cavaliers,UTA Jazz,CLE Cavaliers,2025-03-23T19:30:00Z,9.975,1.075
ATL Hawks v PHI 76ers,ATL Hawks,PHI 76ers,2025-03-23T22:00:00Z,1.215,4.728
MIA Heat v CHA Hornets,MIA Heat,CHA Hornets,2025-03-23T22:00:00Z,1.488,2.793
POR Trail Blazers v BOS Celtics,POR Trail Blazers,BOS Celtics,2025-03-23T22:00:00Z,3.411,1.353
TOR Raptors v SA Spurs,TOR Raptors,SA Spurs,2025-03-23T22:00:00Z,1.801,2.114
HOU Rockets v DEN Nuggets,HOU Rockets,DEN Nuggets,2025-03-23T23:00:00Z,1.354,3.411
LA Clippers v OKC Thunder,LA Clippers,OKC Thunder,2025-03-24T01:00:00Z,2.294,1.689
IND Pacers v MIN Timberwolves,IND Pacers,MIN Timberwolves,2025-03-24T23:00:00Z,N/A,N/A
ORL Magic v LA Lakers,ORL Magic,LA Lakers,2025-03-24T23:00:00Z,N/A,N/A
WAS Wizards v TOR Raptors,WAS Wizards,TOR Raptors,2025-03-24T23:00:00Z,N/A,N/A
BKN Nets v DAL Mavericks,BKN Nets,DAL Mavericks,2025-03-24T23:30:00Z,N/A,N/A
NO Pelicans v PHI 76ers,NO Pelicans,PHI 76ers,2025-03-25T00:00:00Z,N/A,N/A
DEN Nuggets v CHI Bulls,DEN Nuggets,CHI Bulls,2025-03-25T01:00:00Z,N/A,N/A
PHX Suns v MIL Bucks,PHX Suns,MIL Bucks,2025-03-25T02:00:00Z,N/A,N/A
SAC Kings v BOS Celtics,SAC Kings,BOS Celtics,2025-03-25T02:00:00Z,N/A,N/A
CHA Hornets v ORL Magic,CHA Hornets,ORL Magic,2025-03-25T23:00:00Z,N/A,N/A
DET Pistons v SA Spurs,DET Pistons,SA Spurs,2025-03-25T23:00:00Z,N/A,N/A
MIA Heat v GS Warriors,MIA Heat,GS Warriors,2025-03-25T23:30:00Z,N/A,N/A
NY Knicks v DAL Mavericks,NY Knicks,DAL Mavericks,2025-03-25T23:30:00Z,N/A,N/A
HOU Rockets v ATL Hawks,HOU Rockets,ATL Hawks,2025-03-26T00:00:00Z,N/A,N/A
UTA Jazz v MEM Grizzlies,UTA Jazz,MEM Grizzlies,2025-03-26T01:00:00Z,N/A,N/A
POR Trail Blazers v CLE Cavaliers,POR Trail Blazers,CLE Cavaliers,2025-03-26T02:00:00Z,N/A,N/A
SAC Kings v OKC Thunder,SAC Kings,OKC Thunder,2025-03-26T02:00:00Z,N/A,N/A
PHI 76ers v WAS Wizards,PHI 76ers,WAS Wizards,2025-03-26T23:00:00Z,N/A,N/A
BKN Nets v TOR Raptors,BKN Nets,TOR Raptors,2025-03-26T23:30:00Z,N/A,N/A
IND Pacers v LA Lakers,IND Pacers,LA Lakers,2025-03-26T23:30:00Z,N/A,N/A
NY Knicks v LA Clippers,NY Knicks,LA Clippers,2025-03-26T23:30:00Z,N/A,N/A
DEN Nuggets v MIL Bucks,DEN Nuggets,MIL Bucks,2025-03-27T01:00:00Z,N/A,N/A
PHX Suns v BOS Celtics,PHX Suns,BOS Celtics,2025-03-27T02:00:00Z,N/A,N/A
CLE Cavaliers v SA Spurs,CLE Cavaliers,SA Spurs,2025-03-27T23:00:00Z,N/A,N/A
ORL Magic v DAL Mavericks,ORL Magic,DAL Mavericks,2025-03-27T23:00:00Z,N/A,N/A
WAS Wizards v IND Pacers,WAS Wizards,IND Pacers,2025-03-27T23:00:00Z,N/A,N/A
MIA Heat v ATL Hawks,MIA Heat,ATL Hawks,2025-03-27T23:30:00Z,N/A,N/A
CHI Bulls v LA Lakers,CHI Bulls,LA Lakers,2025-03-28T00:00:00Z,N/A,N/A
OKC Thunder v MEM Grizzlies,OKC Thunder,MEM Grizzlies,2025-03-28T00:00:00Z,N/A,N/A
UTA Jazz v HOU Rockets,UTA Jazz,HOU Rockets,2025-03-28T01:00:00Z,N/A,N/A
SAC Kings v POR Trail Blazers,SAC Kings,POR Trail Blazers,2025-03-28T02:00:00Z,N/A,N/A
DET Pistons v CLE Cavaliers,DET Pistons,CLE Cavaliers,2025-03-28T23:00:00Z,N/A,N/A
BKN Nets v LA Clippers,BKN Nets,LA Clippers,2025-03-28T23:30:00Z,N/A,N/A
TOR Raptors v CHA Hornets,TOR Raptors,CHA Hornets,2025-03-28T23:30:00Z,N/A,N/A
MIL Bucks v NY Knicks,MIL Bucks,NY Knicks,2025-03-29T00:00:00Z,N/A,N/A
MIN Timberwolves v PHX Suns,MIN Timberwolves,PHX Suns,2025-03-29T00:00:00Z,N/A,N/A
NO Pelicans v GS Warriors,NO Pelicans,GS Warriors,2025-03-29T00:00:00Z,N/A,N/A
DEN Nuggets v UTA Jazz,DEN Nuggets,UTA Jazz,2025-03-29T01:00:00Z,N/A,N/A
ORL Magic v SAC Kings,ORL Magic,SAC Kings,2025-03-29T21:00:00Z,N/A,N/A
WAS Wizards v BKN Nets,WAS Wizards,BKN Nets,2025-03-29T23:00:00Z,N/A,N/A
PHI 76ers v MIA Heat,PHI 76ers,MIA Heat,2025-03-29T23:30:00Z,N/A,N/A
CHI Bulls v DAL Mavericks,CHI Bulls,DAL Mavericks,2025-03-30T00:00:00Z,N/A,N/A
MEM Grizzlies v LA Lakers,MEM Grizzlies,LA Lakers,2025-03-30T00:00:00Z,N/A,N/A
OKC Thunder v IND Pacers,OKC Thunder,IND Pacers,2025-03-30T00:00:00Z,N/A,N/A
SA Spurs v BOS Celtics,SA Spurs,BOS Celtics,2025-03-30T00:00:00Z,N/A,N/A
CLE Cavaliers v LA Clippers,CLE Cavaliers,LA Clippers,2025-03-30T19:30:00Z,N/A,N/A
NY Knicks v POR Trail Blazers,NY Knicks,POR Trail Blazers,2025-03-30T22:00:00Z,N/A,N/A
MIL Bucks v ATL Hawks,MIL Bucks,ATL Hawks,2025-03-30T23:00:00Z,N/A,N/A
MIN Timberwolves v DET Pistons,MIN Timberwolves,DET Pistons,2025-03-30T23:00:00Z,N/A,N/A
NO Pelicans v CHA Hornets,NO Pelicans,CHA Hornets,2025-03-30T23:00:00Z,N/A,N/A
SA Spurs v GS Warriors,SA Spurs,GS Warriors,2025-03-30T23:00:00Z,N/A,N/A
PHI 76ers v TOR Raptors,PHI 76ers,TOR Raptors,2025-03-30T23:30:00Z,N/A,N/A
PHX Suns v HOU Rockets,PHX Suns,HOU Rockets,2025-03-31T01:00:00Z,N/A,N/A
CHA Hornets v UTA Jazz,CHA Hornets,UTA Jazz,2025-03-31T23:00:00Z,N/A,N/A
IND Pacers v SAC Kings,IND Pacers,SAC Kings,2025-03-31T23:00:00Z,N/A,N/A
ORL Magic v LA Clippers,ORL Magic,LA Clippers,2025-03-31T23:00:00Z,N/A,N/A
WAS Wizards v MIA Heat,WAS Wizards,MIA Heat,2025-03-31T23:00:00Z,N/A,N/A
MEM Grizzlies v BOS Celtics,MEM Grizzlies,BOS Celtics,2025-03-31T23:30:00Z,N/A,N/A
OKC Thunder v CHI Bulls,OKC Thunder,CHI Bulls,2025-04-01T00:00:00Z,N/A,N/A
DAL Mavericks v BKN Nets,DAL Mavericks,BKN Nets,2025-04-01T00:30:00Z,N/A,N/A
LA Lakers v HOU Rockets,LA Lakers,HOU Rockets,2025-04-01T02:00:00Z,N/A,N/A
