Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CLE Cavaliers v TOR Raptors,TOR Raptors,CLE Cavaliers,2025-01-10T00:10:00Z,796,-1149
DET Pistons v GS Warriors,GS Warriors,DET Pistons,2025-01-10T00:10:00Z,114,-127
ORL Magic v MIN Timberwolves,MIN Timberwolves,ORL Magic,2025-01-10T00:10:00Z,-213,186
MEM Grizzlies v HOU Rockets,HOU Rockets,MEM Grizzlies,2025-01-10T01:10:00Z,-100,-110
DAL Mavericks v POR Trail Blazers,POR Trail Blazers,DAL Mavericks,2025-01-10T01:40:00Z,258,-305
PHX Suns v ATL Hawks,ATL Hawks,PHX Suns,2025-01-10T02:10:00Z,195,-224
UTA Jazz v MIA Heat,MIA Heat,UTA Jazz,2025-01-10T02:10:00Z,-210,184
LA Lakers v CHA Hornets,CHA Hornets,LA Lakers,2025-01-10T03:40:00Z,299,-362
