Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
PHI 76ers v NY Knicks,NY Knicks,PHI 76ers,2025-01-16T00:00:00Z,0,0
TOR Raptors v BOS Celtics,BOS Celtics,TOR Raptors,2025-01-16T00:30:00Z,-1030,728
CHI Bulls v ATL Hawks,ATL Hawks,CHI Bulls,2025-01-16T01:00:00Z,116,-130
NO Pelicans v DAL Mavericks,DAL Mavericks,NO Pelicans,2025-01-16T01:00:00Z,-132,118
MIL Bucks v ORL Magic,ORL Magic,MIL Bucks,2025-01-16T01:10:00Z,190,-216
DEN Nuggets v HOU Rockets,HOU Rockets,DEN Nuggets,2025-01-16T02:10:00Z,105,-117
UTA Jazz v CHA Hornets,CHA Hornets,UTA Jazz,2025-01-16T02:10:00Z,-198,174
MIN Timberwolves v GS Warriors,GS Warriors,MIN Timberwolves,2025-01-16T02:40:00Z,204,-236
SA Spurs v MEM Grizzlies,MEM Grizzlies,SA Spurs,2025-01-16T02:40:00Z,-139,124
LA Lakers v MIA Heat,MIA Heat,LA Lakers,2025-01-16T03:10:00Z,170,-194
LA Clippers v BKN Nets,BKN Nets,LA Clippers,2025-01-16T03:40:00Z,626,-884
