Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHA Hornets v SA Spurs,SA Spurs,CHA Hornets,2025-02-08T00:00:00Z,-505,400
WAS Wizards v CLE Cavaliers,CLE Cavaliers,WAS Wizards,2025-02-08T00:00:00Z,-1639,1049
ATL Hawks v MIL Bucks,MIL Bucks,ATL Hawks,2025-02-08T00:30:00Z,-199,175
BKN Nets v MIA Heat,MIA Heat,BKN Nets,2025-02-08T00:30:00Z,-225,196
DET Pistons v PHI 76ers,PHI 76ers,DET Pistons,2025-02-08T00:30:00Z,-164,145
OKC Thunder v TOR Raptors,TOR Raptors,OKC Thunder,2025-02-08T01:00:00Z,1187,-1923
PHX Suns v UTA Jazz,UTA Jazz,PHX Suns,2025-02-08T03:00:00Z,280,-335
DAL Mavericks v HOU Rockets,HOU Rockets,DAL Mavericks,2025-02-08T20:00:00Z,0,0
LA Lakers v IND Pacers,IND Pacers,LA Lakers,2025-02-08T21:00:00Z,0,0
ORL Magic v SA Spurs,SA Spurs,ORL Magic,2025-02-09T00:00:00Z,0,0
WAS Wizards v ATL Hawks,ATL Hawks,WAS Wizards,2025-02-09T00:00:00Z,0,0
CHI Bulls v GS Warriors,GS Warriors,CHI Bulls,2025-02-09T01:00:00Z,0,0
MEM Grizzlies v OKC Thunder,OKC Thunder,MEM Grizzlies,2025-02-09T01:00:00Z,0,0
MIN Timberwolves v POR Trail Blazers,POR Trail Blazers,MIN Timberwolves,2025-02-09T01:00:00Z,0,0
NY Knicks v BOS Celtics,BOS Celtics,NY Knicks,2025-02-09T01:30:00Z,0,0
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2025-02-09T02:00:00Z,0,0
SAC Kings v NO Pelicans,NO Pelicans,SAC Kings,2025-02-09T03:00:00Z,0,0
LA Clippers v UTA Jazz,UTA Jazz,LA Clippers,2025-02-09T03:30:00Z,0,0
DET Pistons v CHA Hornets,CHA Hornets,DET Pistons,2025-02-09T18:00:00Z,0,0
HOU Rockets v TOR Raptors,TOR Raptors,HOU Rockets,2025-02-09T19:00:00Z,0,0
MIL Bucks v PHI 76ers,PHI 76ers,MIL Bucks,2025-02-09T19:00:00Z,0,0
CLE Cavaliers v MIN Timberwolves,MIN Timberwolves,CLE Cavaliers,2025-02-11T00:00:00Z,0,0
ORL Magic v ATL Hawks,ATL Hawks,ORL Magic,2025-02-11T00:00:00Z,0,0
WAS Wizards v SA Spurs,SA Spurs,WAS Wizards,2025-02-11T00:00:00Z,0,0
BKN Nets v CHA Hornets,CHA Hornets,BKN Nets,2025-02-11T00:30:00Z,0,0
MIA Heat v BOS Celtics,BOS Celtics,MIA Heat,2025-02-11T00:30:00Z,0,0
MIL Bucks v GS Warriors,GS Warriors,MIL Bucks,2025-02-11T01:00:00Z,0,0
OKC Thunder v NO Pelicans,NO Pelicans,OKC Thunder,2025-02-11T01:00:00Z,0,0
DAL Mavericks v SAC Kings,SAC Kings,DAL Mavericks,2025-02-11T01:30:00Z,0,0
DEN Nuggets v POR Trail Blazers,POR Trail Blazers,DEN Nuggets,2025-02-11T02:00:00Z,0,0
LA Lakers v UTA Jazz,UTA Jazz,LA Lakers,2025-02-11T03:30:00Z,0,0
PHI 76ers v TOR Raptors,TOR Raptors,PHI 76ers,2025-02-12T00:00:00Z,0,0
IND Pacers v NY Knicks,NY Knicks,IND Pacers,2025-02-12T00:30:00Z,0,0
CHI Bulls v DET Pistons,DET Pistons,CHI Bulls,2025-02-12T01:00:00Z,0,0
PHX Suns v MEM Grizzlies,MEM Grizzlies,PHX Suns,2025-02-12T03:00:00Z,0,0
BOS Celtics v SA Spurs,SA Spurs,BOS Celtics,2025-02-13T00:00:00Z,0,0
ORL Magic v CHA Hornets,CHA Hornets,ORL Magic,2025-02-13T00:00:00Z,0,0
WAS Wizards v IND Pacers,IND Pacers,WAS Wizards,2025-02-13T00:00:00Z,0,0
BKN Nets v PHI 76ers,PHI 76ers,BKN Nets,2025-02-13T00:30:00Z,0,0
NY Knicks v ATL Hawks,ATL Hawks,NY Knicks,2025-02-13T00:30:00Z,0,0
TOR Raptors v CLE Cavaliers,CLE Cavaliers,TOR Raptors,2025-02-13T00:30:00Z,0,0
CHI Bulls v DET Pistons,DET Pistons,CHI Bulls,2025-02-13T01:00:00Z,0,0
MIN Timberwolves v MIL Bucks,MIL Bucks,MIN Timberwolves,2025-02-13T01:00:00Z,0,0
NO Pelicans v SAC Kings,SAC Kings,NO Pelicans,2025-02-13T01:00:00Z,0,0
OKC Thunder v MIA Heat,MIA Heat,OKC Thunder,2025-02-13T01:00:00Z,0,0
HOU Rockets v PHX Suns,PHX Suns,HOU Rockets,2025-02-13T01:30:00Z,0,0
