Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
LA Lakers v CHA Hornets,CHA Hornets,LA Lakers,2025-02-20T03:00:00Z,608,-909
IND Pacers v MEM Grizzlies,MEM Grizzlies,IND Pacers,2025-02-21T00:00:00Z,-131,-101
PHI 76ers v BOS Celtics,BOS Celtics,PHI 76ers,2025-02-21T00:00:00Z,-370,250
ATL Hawks v ORL Magic,ORL Magic,ATL Hawks,2025-02-21T00:30:00Z,-126,-104
BKN Nets v CLE Cavaliers,CLE Cavaliers,BKN Nets,2025-02-21T00:30:00Z,-999,529
NY Knicks v CHI Bulls,CHI Bulls,NY Knicks,2025-02-21T00:30:00Z,529,-999
MIL Bucks v LA Clippers,LA Clippers,MIL Bucks,2025-02-21T01:00:00Z,100,-133
DEN Nuggets v CHA Hornets,CHA Hornets,DEN Nuggets,2025-02-21T02:00:00Z,572,-1111
SA Spurs v PHX Suns,PHX Suns,SA Spurs,2025-02-21T02:30:00Z,110,-147
POR Trail Blazers v LA Lakers,LA Lakers,POR Trail Blazers,2025-02-21T03:00:00Z,-200,147
CLE Cavaliers v NY Knicks,NY Knicks,CLE Cavaliers,2025-02-22T00:00:00Z,0,0
ORL Magic v MEM Grizzlies,MEM Grizzlies,ORL Magic,2025-02-22T00:00:00Z,0,0
WAS Wizards v MIL Bucks,MIL Bucks,WAS Wizards,2025-02-22T00:00:00Z,0,0
TOR Raptors v MIA Heat,MIA Heat,TOR Raptors,2025-02-22T00:30:00Z,0,0
DAL Mavericks v NO Pelicans,NO Pelicans,DAL Mavericks,2025-02-22T01:30:00Z,0,0
SA Spurs v DET Pistons,DET Pistons,SA Spurs,2025-02-22T01:30:00Z,0,0
HOU Rockets v MIN Timberwolves,MIN Timberwolves,HOU Rockets,2025-02-22T02:30:00Z,0,0
UTA Jazz v OKC Thunder,OKC Thunder,UTA Jazz,2025-02-22T02:30:00Z,0,0
SAC Kings v GS Warriors,GS Warriors,SAC Kings,2025-02-22T03:00:00Z,0,0
CHI Bulls v PHX Suns,PHX Suns,CHI Bulls,2025-02-22T22:00:00Z,0,0
PHI 76ers v BKN Nets,BKN Nets,PHI 76ers,2025-02-23T00:30:00Z,0,0
DEN Nuggets v LA Lakers,LA Lakers,DEN Nuggets,2025-02-23T01:30:00Z,0,0
UTA Jazz v HOU Rockets,HOU Rockets,UTA Jazz,2025-02-23T02:30:00Z,0,0
POR Trail Blazers v CHA Hornets,CHA Hornets,POR Trail Blazers,2025-02-23T03:00:00Z,0,0
BOS Celtics v NY Knicks,NY Knicks,BOS Celtics,2025-02-23T18:00:00Z,0,0
GS Warriors v DAL Mavericks,DAL Mavericks,GS Warriors,2025-02-23T20:30:00Z,0,0
IND Pacers v LA Clippers,LA Clippers,IND Pacers,2025-02-23T22:00:00Z,0,0
ATL Hawks v DET Pistons,DET Pistons,ATL Hawks,2025-02-23T23:00:00Z,0,0
MIL Bucks v MIA Heat,MIA Heat,MIL Bucks,2025-02-23T23:00:00Z,0,0
ORL Magic v WAS Wizards,WAS Wizards,ORL Magic,2025-02-23T23:00:00Z,0,0
TOR Raptors v PHX Suns,PHX Suns,TOR Raptors,2025-02-23T23:00:00Z,0,0
CLE Cavaliers v MEM Grizzlies,MEM Grizzlies,CLE Cavaliers,2025-02-24T00:00:00Z,0,0
NO Pelicans v SA Spurs,SA Spurs,NO Pelicans,2025-02-24T00:00:00Z,0,0
MIN Timberwolves v OKC Thunder,OKC Thunder,MIN Timberwolves,2025-02-24T02:30:00Z,0,0
DET Pistons v LA Clippers,LA Clippers,DET Pistons,2025-02-25T00:00:00Z,0,0
IND Pacers v DEN Nuggets,DEN Nuggets,IND Pacers,2025-02-25T00:00:00Z,0,0
PHI 76ers v CHI Bulls,CHI Bulls,PHI 76ers,2025-02-25T00:00:00Z,0,0
WAS Wizards v BKN Nets,BKN Nets,WAS Wizards,2025-02-25T00:00:00Z,0,0
ATL Hawks v MIA Heat,MIA Heat,ATL Hawks,2025-02-25T00:30:00Z,0,0
OKC Thunder v MIN Timberwolves,MIN Timberwolves,OKC Thunder,2025-02-25T01:00:00Z,0,0
UTA Jazz v POR Trail Blazers,POR Trail Blazers,UTA Jazz,2025-02-25T02:00:00Z,0,0
SAC Kings v CHA Hornets,CHA Hornets,SAC Kings,2025-02-25T03:00:00Z,0,0
TOR Raptors v BOS Celtics,BOS Celtics,TOR Raptors,2025-02-26T00:00:00Z,0,0
ORL Magic v CLE Cavaliers,CLE Cavaliers,ORL Magic,2025-02-26T00:30:00Z,0,0
HOU Rockets v MIL Bucks,MIL Bucks,HOU Rockets,2025-02-26T01:00:00Z,0,0
MEM Grizzlies v PHX Suns,PHX Suns,MEM Grizzlies,2025-02-26T01:00:00Z,0,0
NO Pelicans v SA Spurs,SA Spurs,NO Pelicans,2025-02-26T01:00:00Z,0,0
GS Warriors v CHA Hornets,CHA Hornets,GS Warriors,2025-02-26T03:00:00Z,0,0
LA Lakers v DAL Mavericks,DAL Mavericks,LA Lakers,2025-02-26T03:00:00Z,0,0
DET Pistons v BOS Celtics,BOS Celtics,DET Pistons,2025-02-27T00:00:00Z,0,0
IND Pacers v TOR Raptors,TOR Raptors,IND Pacers,2025-02-27T00:00:00Z,0,0
NY Knicks v PHI 76ers,PHI 76ers,NY Knicks,2025-02-27T00:00:00Z,0,0
WAS Wizards v POR Trail Blazers,POR Trail Blazers,WAS Wizards,2025-02-27T00:00:00Z,0,0
BKN Nets v OKC Thunder,OKC Thunder,BKN Nets,2025-02-27T00:30:00Z,0,0
MIA Heat v ATL Hawks,ATL Hawks,MIA Heat,2025-02-27T00:30:00Z,0,0
CHI Bulls v LA Clippers,LA Clippers,CHI Bulls,2025-02-27T01:00:00Z,0,0
UTA Jazz v SAC Kings,SAC Kings,UTA Jazz,2025-02-27T02:00:00Z,0,0
HOU Rockets v SA Spurs,SA Spurs,HOU Rockets,2025-02-27T02:30:00Z,0,0
ORL Magic v GS Warriors,GS Warriors,ORL Magic,2025-02-28T00:00:00Z,0,0
MIL Bucks v DEN Nuggets,DEN Nuggets,MIL Bucks,2025-02-28T00:30:00Z,0,0
DAL Mavericks v CHA Hornets,CHA Hornets,DAL Mavericks,2025-02-28T01:30:00Z,0,0
PHX Suns v NO Pelicans,NO Pelicans,PHX Suns,2025-02-28T03:00:00Z,0,0
LA Lakers v MIN Timberwolves,MIN Timberwolves,LA Lakers,2025-02-28T03:30:00Z,0,0
DET Pistons v DEN Nuggets,DEN Nuggets,DET Pistons,2025-03-01T00:00:00Z,0,0
ATL Hawks v OKC Thunder,OKC Thunder,ATL Hawks,2025-03-01T00:30:00Z,0,0
BKN Nets v POR Trail Blazers,POR Trail Blazers,BKN Nets,2025-03-01T00:30:00Z,0,0
BOS Celtics v CLE Cavaliers,CLE Cavaliers,BOS Celtics,2025-03-01T00:30:00Z,0,0
CHI Bulls v TOR Raptors,TOR Raptors,CHI Bulls,2025-03-01T01:00:00Z,0,0
MEM Grizzlies v NY Knicks,NY Knicks,MEM Grizzlies,2025-03-01T01:00:00Z,0,0
MIA Heat v IND Pacers,IND Pacers,MIA Heat,2025-03-01T01:00:00Z,0,0
PHX Suns v NO Pelicans,NO Pelicans,PHX Suns,2025-03-01T02:00:00Z,0,0
UTA Jazz v MIN Timberwolves,MIN Timberwolves,UTA Jazz,2025-03-01T02:30:00Z,0,0
LA Lakers v LA Clippers,LA Clippers,LA Lakers,2025-03-01T03:00:00Z,0,0
