Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHA Hornets v HOU Rockets,HOU Rockets,CHA Hornets,2024-12-24T00:10:00Z,-241,209
CLE Cavaliers v UTA Jazz,UTA Jazz,CLE Cavaliers,2024-12-24T00:10:00Z,742,-1052
ORL Magic v BOS Celtics,BOS Celtics,ORL Magic,2024-12-24T00:10:00Z,-487,387
PHI 76ers v SA Spurs,SA Spurs,PHI 76ers,2024-12-24T00:10:00Z,182,-208
MIA Heat v BKN Nets,BKN Nets,MIA Heat,2024-12-24T00:30:00Z,407,-515
ATL Hawks v MIN Timberwolves,MIN Timberwolves,ATL Hawks,2024-12-24T00:40:00Z,-160,142
NY Knicks v TOR Raptors,TOR Raptors,NY Knicks,2024-12-24T00:40:00Z,619,-862
CHI Bulls v MIL Bucks,MIL Bucks,CHI Bulls,2024-12-24T01:10:00Z,-119,107
MEM Grizzlies v LA Clippers,LA Clippers,MEM Grizzlies,2024-12-24T01:10:00Z,195,-224
OKC Thunder v WAS Wizards,WAS Wizards,OKC Thunder,2024-12-24T01:10:00Z,978,-1492
DAL Mavericks v POR Trail Blazers,POR Trail Blazers,DAL Mavericks,2024-12-24T01:40:00Z,453,-588
DEN Nuggets v PHX Suns,PHX Suns,DEN Nuggets,2024-12-24T03:10:00Z,166,-189
GS Warriors v IND Pacers,IND Pacers,GS Warriors,2024-12-24T03:10:00Z,192,-220
LA Lakers v DET Pistons,DET Pistons,LA Lakers,2024-12-24T03:40:00Z,193,-222
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:10:00Z,294,-434
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25T19:40:00Z,150,-204
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:10:00Z,298,-454
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:10:00Z,149,-200
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26T03:40:00Z,-131,-101
