Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
BOS Celtics v ORL Magic,ORL Magic,BOS Celtics,2025-01-18T00:00:00Z,718,-1010
NY Knicks v MIN Timberwolves,MIN Timberwolves,NY Knicks,2025-01-18T00:30:00Z,161,-182
CHI Bulls v CHA Hornets,CHA Hornets,CHI Bulls,2025-01-18T01:00:00Z,166,-188
MIA Heat v DEN Nuggets,DEN Nuggets,MIA Heat,2025-01-18T01:00:00Z,-105,-105
MIL Bucks v TOR Raptors,TOR Raptors,MIL Bucks,2025-01-18T01:00:00Z,451,-584
NO Pelicans v UTA Jazz,UTA Jazz,NO Pelicans,2025-01-18T01:00:00Z,474,-617
DAL Mavericks v OKC Thunder,OKC Thunder,DAL Mavericks,2025-01-18T01:30:00Z,-316,266
SA Spurs v MEM Grizzlies,MEM Grizzlies,SA Spurs,2025-01-18T02:40:00Z,-138,123
LA Lakers v BKN Nets,BKN Nets,LA Lakers,2025-01-18T03:30:00Z,448,-581
