Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
PHI 76ers v CHA Hornets,CHA Hornets,PHI 76ers,2024-12-21T00:00:00Z,548,-1111
CLE Cavaliers v MIL Bucks,MIL Bucks,CLE Cavaliers,2024-12-21T00:30:00Z,287,-434
MIA Heat v OKC Thunder,OKC Thunder,MIA Heat,2024-12-21T01:00:00Z,-112,-117
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:00:00Z,283,-416
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25T19:30:00Z,0,0
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:00:00Z,0,0
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:00:00Z,0,0
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26T03:30:00Z,0,0
