Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
BKN Nets v PHI 76ers,BKN Nets,PHI 76ers,2025-01-04T23:10:00Z,3.591,1.326
IND Pacers v PHX Suns,IND Pacers,PHX Suns,2025-01-05T00:00:00Z,1.764,2.174
DET Pistons v MIN Timberwolves,DET Pistons,MIN Timberwolves,2025-01-05T00:10:00Z,3.451,1.348
CHI Bulls v NY Knicks,CHI Bulls,NY Knicks,2025-01-05T01:00:00Z,2.823,1.479
MIA Heat v UTA Jazz,MIA Heat,UTA Jazz,2025-01-05T01:10:00Z,1.293,3.85
MIL Bucks v POR Trail Blazers,MIL Bucks,POR Trail Blazers,2025-01-05T01:10:00Z,1.123,6.913
SA Spurs v DEN Nuggets,SA Spurs,DEN Nuggets,2025-01-05T01:10:00Z,2.384,1.644
GS Warriors v MEM Grizzlies,GS Warriors,MEM Grizzlies,2025-01-05T01:40:00Z,1.735,2.214
LA Clippers v ATL Hawks,LA Clippers,ATL Hawks,2025-01-05T03:40:00Z,1.381,3.25
