Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-13T23:00:00Z,1.293,3.84
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-14T01:30:00Z,1.211,4.798
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-14T23:00:00Z,1.55,2.602
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-05-15T01:30:00Z,1.162,5.723
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-16T00:00:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-16T00:30:00Z,N/A,N/A
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-17T00:00:00Z,N/A,N/A
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-17T23:00:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-18T23:00:00Z,N/A,N/A
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-18T23:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-18T23:00:00Z,N/A,N/A
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-20T00:00:00Z,N/A,N/A
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-05-21T00:30:00Z,N/A,N/A
