Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
BKN Nets v ORL Magic,ORL Magic,BKN Nets,2024-12-01T20:40:00Z,-259,223
MEM Grizzlies v IND Pacers,IND Pacers,MEM Grizzlies,2024-12-01T20:40:00Z,217,-251
TOR Raptors v MIA Heat,MIA Heat,TOR Raptors,2024-12-01T23:00:00Z,-184,162
CLE Cavaliers v BOS Celtics,BOS Celtics,CLE Cavaliers,2024-12-01T23:10:00Z,-114,102
NYK Knicks v NOP Pelicans,NOP Pelicans,NYK Knicks,2024-12-01T23:10:00Z,541,-729
HOU Rockets v OKC Thunder,OKC Thunder,HOU Rockets,2024-12-02T00:10:00Z,-119,107
UTA Jazz v LAL Lakers,LAL Lakers,UTA Jazz,2024-12-02T01:10:00Z,-282,240
SAC Kings v SAS Spurs,SAS Spurs,SAC Kings,2024-12-02T02:10:00Z,205,-236
LA Clippers v DEN Nuggets,DEN Nuggets,LA Clippers,2024-12-02T03:10:00Z,-141,125
CHA Hornets v PHI 76ers,PHI 76ers,CHA Hornets,2024-12-04T00:00:00Z,-243,175
CLE Cavaliers v WAS Wizards,WAS Wizards,CLE Cavaliers,2024-12-04T00:00:00Z,769,-1999
DET Pistons v MIL Bucks,MIL Bucks,DET Pistons,2024-12-04T00:00:00Z,-185,137
NYK Knicks v ORL Magic,ORL Magic,NYK Knicks,2024-12-04T00:30:00Z,194,-270
TOR Raptors v IND Pacers,IND Pacers,TOR Raptors,2024-12-04T00:30:00Z,-147,110
OKC Thunder v UTA Jazz,UTA Jazz,OKC Thunder,2024-12-04T01:00:00Z,680,-1666
DAL Mavericks v MEM Grizzlies,MEM Grizzlies,DAL Mavericks,2024-12-04T01:30:00Z,108,-142
PHX Suns v SAS Spurs,SAS Spurs,PHX Suns,2024-12-04T02:00:00Z,206,-285
DEN Nuggets v GSW Warriors,GSW Warriors,DEN Nuggets,2024-12-04T03:00:00Z,110,-147
SAC Kings v HOU Rockets,HOU Rockets,SAC Kings,2024-12-04T03:00:00Z,-109,-120
LA Clippers v POR Trail Blazers,POR Trail Blazers,LA Clippers,2024-12-04T03:30:00Z,300,-454
