Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CLE Cavaliers v WAS Wizards,WAS Wizards,CLE Cavaliers,2024-12-04T00:00:00Z,938,-1428
CHA Hornets v PHI 76ers,PHI 76ers,CHA Hornets,2024-12-04T00:10:00Z,-179,158
DET Pistons v MIL Bucks,MIL Bucks,DET Pistons,2024-12-04T00:10:00Z,-141,126
NYK Knicks v ORL Magic,ORL Magic,NYK Knicks,2024-12-04T00:30:00Z,160,-182
TOR Raptors v IND Pacers,IND Pacers,TOR Raptors,2024-12-04T00:40:00Z,-142,126
OKC Thunder v UTA Jazz,UTA Jazz,OKC Thunder,2024-12-04T01:10:00Z,658,-925
DAL Mavericks v MEM Grizzlies,MEM Grizzlies,DAL Mavericks,2024-12-04T01:40:00Z,149,-169
PHX Suns v SAS Spurs,SAS Spurs,PHX Suns,2024-12-04T02:10:00Z,251,-295
DEN Nuggets v GSW Warriors,GSW Warriors,DEN Nuggets,2024-12-04T03:05:00Z,163,-184
SAC Kings v HOU Rockets,HOU Rockets,SAC Kings,2024-12-04T03:10:00Z,102,-114
LA Clippers v POR Trail Blazers,POR Trail Blazers,LA Clippers,2024-12-04T03:40:00Z,304,-369
