Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
ORL Magic v OKC Thunder,OKC Thunder,ORL Magic,2024-12-20T00:00:00Z,-263,189
DET Pistons v UTA Jazz,UTA Jazz,DET Pistons,2024-12-20T00:10:00Z,135,-181
WAS Wizards v CHA Hornets,CHA Hornets,WAS Wizards,2024-12-20T00:10:00Z,-178,134
BOS Celtics v CHI Bulls,CHI Bulls,BOS Celtics,2024-12-20T00:40:00Z,617,-1428
TOR Raptors v BKN Nets,BKN Nets,TOR Raptors,2024-12-20T00:40:00Z,131,-175
HOU Rockets v NO Pelicans,NO Pelicans,HOU Rockets,2024-12-20T01:10:00Z,350,-555
MEM Grizzlies v GS Warriors,GS Warriors,MEM Grizzlies,2024-12-20T01:10:00Z,133,-178
SA Spurs v ATL Hawks,ATL Hawks,SA Spurs,2024-12-20T01:10:00Z,-109,-120
DAL Mavericks v LA Clippers,LA Clippers,DAL Mavericks,2024-12-20T01:40:00Z,198,-277
PHX Suns v IND Pacers,IND Pacers,PHX Suns,2024-12-20T02:10:00Z,192,-270
MIN Timberwolves v NY Knicks,NY Knicks,MIN Timberwolves,2024-12-20T02:30:00Z,106,-140
POR Trail Blazers v DEN Nuggets,DEN Nuggets,POR Trail Blazers,2024-12-20T03:10:00Z,-400,271
SAC Kings v LA Lakers,LA Lakers,SAC Kings,2024-12-20T03:10:00Z,163,-222
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:00:00Z,0,0
