Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHA Hornets v MIA Heat,MIA Heat,CHA Hornets,2024-11-28T00:00:00Z,-164,145
CLE Cavaliers v ATL Hawks,ATL Hawks,CLE Cavaliers,2024-11-28T00:10:00Z,384,-480
IND Pacers v POR Trail Blazers,POR Trail Blazers,IND Pacers,2024-11-28T00:10:00Z,378,-471
ORL Magic v CHI Bulls,CHI Bulls,ORL Magic,2024-11-28T00:10:00Z,333,-409
PHI 76ers v HOU Rockets,HOU Rockets,PHI 76ers,2024-11-28T00:10:00Z,-203,179
WAS Wizards v LA Clippers,LA Clippers,WAS Wizards,2024-11-28T00:10:00Z,-534,420
DAL Mavericks v NYK Knicks,NYK Knicks,DAL Mavericks,2024-11-28T00:40:00Z,-171,151
MEM Grizzlies v DET Pistons,DET Pistons,MEM Grizzlies,2024-11-28T01:10:00Z,282,-336
MIN Timberwolves v SAC Kings,SAC Kings,MIN Timberwolves,2024-11-28T01:10:00Z,138,-156
NOP Pelicans v TOR Raptors,TOR Raptors,NOP Pelicans,2024-11-28T01:10:00Z,127,-143
SAS Spurs v LAL Lakers,LAL Lakers,SAS Spurs,2024-11-28T01:40:00Z,-127,114
PHX Suns v BKN Nets,BKN Nets,PHX Suns,2024-11-28T02:10:00Z,267,-316
UTA Jazz v DEN Nuggets,DEN Nuggets,UTA Jazz,2024-11-28T02:10:00Z,-421,343
GSW Warriors v OKC Thunder,OKC Thunder,GSW Warriors,2024-11-28T03:10:00Z,-133,118
