Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
BOS Celtics v MIA Heat,MIA Heat,BOS Celtics,2024-12-03T00:30:00Z,269.0,-320.0
ATL Hawks v NOP Pelicans,NOP Pelicans,ATL Hawks,2024-12-03T00:40:00Z,,
CHI Bulls v BKN Nets,BKN Nets,CHI Bulls,2024-12-03T01:10:00Z,261.0,-309.0
MIN Timberwolves v LAL Lakers,LAL Lakers,MIN Timberwolves,2024-12-03T01:10:00Z,266.0,-315.0
CHA Hornets v PHI 76ers,PHI 76ers,CHA Hornets,2024-12-04T00:00:00Z,-238.0,174.0
CLE Cavaliers v WAS Wizards,WAS Wizards,CLE Cavaliers,2024-12-04T00:00:00Z,769.0,-1999.0
DET Pistons v MIL Bucks,MIL Bucks,DET Pistons,2024-12-04T00:00:00Z,-185.0,137.0
NYK Knicks v ORL Magic,ORL Magic,NYK Knicks,2024-12-04T00:30:00Z,194.0,-270.0
TOR Raptors v IND Pacers,IND Pacers,TOR Raptors,2024-12-04T00:30:00Z,-136.0,102.0
OKC Thunder v UTA Jazz,UTA Jazz,OKC Thunder,2024-12-04T01:00:00Z,630.0,-1428.0
DAL Mavericks v MEM Grizzlies,MEM Grizzlies,DAL Mavericks,2024-12-04T01:30:00Z,117.0,-156.0
PHX Suns v SAS Spurs,SAS Spurs,PHX Suns,2024-12-04T02:00:00Z,246.0,-357.0
DEN Nuggets v GSW Warriors,GSW Warriors,DEN Nuggets,2024-12-04T03:00:00Z,110.0,-147.0
SAC Kings v HOU Rockets,HOU Rockets,SAC Kings,2024-12-04T03:00:00Z,-109.0,-120.0
LA Clippers v POR Trail Blazers,POR Trail Blazers,LA Clippers,2024-12-04T03:30:00Z,313.0,-476.0
