Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CLE Cavaliers v DEN Nuggets,DEN Nuggets,CLE Cavaliers,2024-12-06T00:10:00Z,155.0,-176.0
WAS Wizards v DAL Mavericks,DAL Mavericks,WAS Wizards,2024-12-06T00:10:00Z,-999.0,698.0
NYK Knicks v CHA Hornets,CHA Hornets,NYK Knicks,2024-12-06T00:40:00Z,711.0,-1030.0
TOR Raptors v OKC Thunder,OKC Thunder,TOR Raptors,2024-12-06T00:40:00Z,-425.0,345.0
MEM Grizzlies v SAC Kings,SAC Kings,MEM Grizzlies,2024-12-06T01:10:00Z,136.0,-153.0
NOP Pelicans v PHX Suns,PHX Suns,NOP Pelicans,2024-12-06T01:10:00Z,-128.0,115.0
SAS Spurs v CHI Bulls,CHI Bulls,SAS Spurs,2024-12-06T01:10:00Z,110.0,-123.0
GSW Warriors v HOU Rockets,HOU Rockets,GSW Warriors,2024-12-06T03:10:00Z,-163.0,145.0
MIL Bucks v ORL Magic,ORL Magic,MIL Bucks,2024-12-10T23:00:00Z,,
OKC Thunder v DAL Mavericks,DAL Mavericks,OKC Thunder,2024-12-11T02:30:00Z,,
NYK Knicks v ATL Hawks,ATL Hawks,NYK Knicks,2024-12-11T23:00:00Z,,
HOU Rockets v GSW Warriors,GSW Warriors,HOU Rockets,2024-12-12T02:30:00Z,,
