Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
CLE Cavaliers v NY Knicks,CLE Cavaliers,NY Knicks,2025-04-02T23:00:00Z,1.187,5.197
IND Pacers v CHA Hornets,IND Pacers,CHA Hornets,2025-04-02T23:00:00Z,1.081,9.447
WAS Wizards v SAC Kings,WAS Wizards,SAC Kings,2025-04-02T23:00:00Z,7.092,1.119
BOS Celtics v MIA Heat,BOS Celtics,MIA Heat,2025-04-02T23:30:00Z,1.198,5.007
HOU Rockets v UTA Jazz,HOU Rockets,UTA Jazz,2025-04-03T00:00:00Z,1.072,10.275
DAL Mavericks v ATL Hawks,DAL Mavericks,ATL Hawks,2025-04-03T00:30:00Z,1.605,2.463
DEN Nuggets v SA Spurs,DEN Nuggets,SA Spurs,2025-04-03T01:00:00Z,1.242,4.359
OKC Thunder v DET Pistons,OKC Thunder,DET Pistons,2025-04-03T01:30:00Z,1.123,6.923
LA Clippers v NO Pelicans,LA Clippers,NO Pelicans,2025-04-03T02:30:00Z,1.058,11.875
PHI 76ers v MIL Bucks,PHI 76ers,MIL Bucks,2025-04-03T23:00:00Z,N/A,N/A
WAS Wizards v ORL Magic,WAS Wizards,ORL Magic,2025-04-03T23:00:00Z,N/A,N/A
BKN Nets v MIN Timberwolves,BKN Nets,MIN Timberwolves,2025-04-03T23:30:00Z,N/A,N/A
MIA Heat v MEM Grizzlies,MIA Heat,MEM Grizzlies,2025-04-03T23:30:00Z,N/A,N/A
TOR Raptors v POR Trail Blazers,TOR Raptors,POR Trail Blazers,2025-04-03T23:30:00Z,N/A,N/A
LA Lakers v GS Warriors,LA Lakers,GS Warriors,2025-04-04T02:00:00Z,N/A,N/A
CHA Hornets v SAC Kings,CHA Hornets,SAC Kings,2025-04-04T23:00:00Z,N/A,N/A
IND Pacers v UTA Jazz,IND Pacers,UTA Jazz,2025-04-04T23:00:00Z,N/A,N/A
BOS Celtics v PHX Suns,BOS Celtics,PHX Suns,2025-04-04T23:30:00Z,N/A,N/A
TOR Raptors v DET Pistons,TOR Raptors,DET Pistons,2025-04-04T23:30:00Z,N/A,N/A
CHI Bulls v POR Trail Blazers,CHI Bulls,POR Trail Blazers,2025-04-05T00:00:00Z,N/A,N/A
HOU Rockets v OKC Thunder,HOU Rockets,OKC Thunder,2025-04-05T00:00:00Z,N/A,N/A
SA Spurs v CLE Cavaliers,SA Spurs,CLE Cavaliers,2025-04-05T00:00:00Z,N/A,N/A
GS Warriors v DEN Nuggets,GS Warriors,DEN Nuggets,2025-04-05T02:00:00Z,N/A,N/A
LA Clippers v DAL Mavericks,LA Clippers,DAL Mavericks,2025-04-05T02:30:00Z,N/A,N/A
LA Lakers v NO Pelicans,LA Lakers,NO Pelicans,2025-04-05T02:30:00Z,N/A,N/A
ATL Hawks v NY Knicks,ATL Hawks,NY Knicks,2025-04-05T19:00:00Z,N/A,N/A
DET Pistons v MEM Grizzlies,DET Pistons,MEM Grizzlies,2025-04-05T23:00:00Z,N/A,N/A
PHI 76ers v MIN Timberwolves,PHI 76ers,MIN Timberwolves,2025-04-05T23:00:00Z,N/A,N/A
MIA Heat v MIL Bucks,MIA Heat,MIL Bucks,2025-04-06T00:00:00Z,N/A,N/A
LA Clippers v DAL Mavericks,LA Clippers,DAL Mavericks,2025-04-06T02:30:00Z,N/A,N/A
CHA Hornets v CHI Bulls,CHA Hornets,CHI Bulls,2025-04-06T17:00:00Z,N/A,N/A
BKN Nets v TOR Raptors,BKN Nets,TOR Raptors,2025-04-06T19:30:00Z,N/A,N/A
OKC Thunder v LA Lakers,OKC Thunder,LA Lakers,2025-04-06T19:30:00Z,N/A,N/A
ATL Hawks v UTA Jazz,ATL Hawks,UTA Jazz,2025-04-06T22:00:00Z,N/A,N/A
BOS Celtics v WAS Wizards,BOS Celtics,WAS Wizards,2025-04-06T22:00:00Z,N/A,N/A
CLE Cavaliers v SAC Kings,CLE Cavaliers,SAC Kings,2025-04-06T22:00:00Z,N/A,N/A
POR Trail Blazers v SA Spurs,POR Trail Blazers,SA Spurs,2025-04-06T22:00:00Z,N/A,N/A
NY Knicks v PHX Suns,NY Knicks,PHX Suns,2025-04-06T23:00:00Z,N/A,N/A
DEN Nuggets v IND Pacers,DEN Nuggets,IND Pacers,2025-04-07T00:00:00Z,N/A,N/A
GS Warriors v HOU Rockets,GS Warriors,HOU Rockets,2025-04-07T00:30:00Z,N/A,N/A
NO Pelicans v MIL Bucks,NO Pelicans,MIL Bucks,2025-04-07T00:30:00Z,N/A,N/A
DET Pistons v SAC Kings,DET Pistons,SAC Kings,2025-04-07T23:00:00Z,N/A,N/A
MIA Heat v PHI 76ers,MIA Heat,PHI 76ers,2025-04-07T23:30:00Z,N/A,N/A
CHA Hornets v MEM Grizzlies,CHA Hornets,MEM Grizzlies,2025-04-08T23:00:00Z,N/A,N/A
CLE Cavaliers v CHI Bulls,CLE Cavaliers,CHI Bulls,2025-04-08T23:00:00Z,N/A,N/A
IND Pacers v WAS Wizards,IND Pacers,WAS Wizards,2025-04-08T23:00:00Z,N/A,N/A
ORL Magic v ATL Hawks,ORL Magic,ATL Hawks,2025-04-08T23:00:00Z,N/A,N/A
BKN Nets v NO Pelicans,BKN Nets,NO Pelicans,2025-04-08T23:30:00Z,N/A,N/A
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-04-08T23:30:00Z,N/A,N/A
MIL Bucks v MIN Timberwolves,MIL Bucks,MIN Timberwolves,2025-04-09T00:00:00Z,N/A,N/A
OKC Thunder v LA Lakers,OKC Thunder,LA Lakers,2025-04-09T00:00:00Z,N/A,N/A
PHX Suns v GS Warriors,PHX Suns,GS Warriors,2025-04-09T02:00:00Z,N/A,N/A
