Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:10:00Z,-104,-108
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25T19:40:00Z,177,-201
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:10:00Z,304,-366
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:10:00Z,150,-169
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26T03:40:00Z,-132,117
IND Pacers v OKC Thunder,OKC Thunder,IND Pacers,2024-12-27T00:00:00Z,-196,145
ORL Magic v MIA Heat,MIA Heat,ORL Magic,2024-12-27T00:00:00Z,-113,-116
WAS Wizards v CHA Hornets,CHA Hornets,WAS Wizards,2024-12-27T00:00:00Z,-147,110
ATL Hawks v CHI Bulls,CHI Bulls,ATL Hawks,2024-12-27T00:30:00Z,210,-294
MEM Grizzlies v TOR Raptors,TOR Raptors,MEM Grizzlies,2024-12-27T01:00:00Z,445,-769
MIL Bucks v BKN Nets,BKN Nets,MIL Bucks,2024-12-27T01:00:00Z,286,-434
NO Pelicans v HOU Rockets,HOU Rockets,NO Pelicans,2024-12-27T01:00:00Z,-400,268
POR Trail Blazers v UTA Jazz,UTA Jazz,POR Trail Blazers,2024-12-27T03:00:00Z,119,-158
SAC Kings v DET Pistons,DET Pistons,SAC Kings,2024-12-27T03:00:00Z,160,-217
