Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
DET Pistons v ORL Magic,DET Pistons,ORL Magic,2025-01-02T00:10:00Z,1.801,2.114
WAS Wizards v CHI Bulls,WAS Wizards,CHI Bulls,2025-01-02T00:10:00Z,2.952,1.446
MIA Heat v NO Pelicans,MIA Heat,NO Pelicans,2025-01-02T00:30:00Z,1.276,4
NY Knicks v UTA Jazz,NY Knicks,UTA Jazz,2025-01-02T00:40:00Z,1.124,6.893
TOR Raptors v BKN Nets,TOR Raptors,BKN Nets,2025-01-02T00:40:00Z,1.782,2.144
HOU Rockets v DAL Mavericks,HOU Rockets,DAL Mavericks,2025-01-02T01:10:00Z,1.508,2.733
DEN Nuggets v ATL Hawks,DEN Nuggets,ATL Hawks,2025-01-02T02:10:00Z,1.423,3.052
SAC Kings v PHI 76ers,SAC Kings,PHI 76ers,2025-01-02T03:10:00Z,1.395,3.18
