Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
IND Pacers v GS Warriors,GS Warriors,IND Pacers,2025-01-11T00:00:00Z,253,-299
ORL Magic v MIL Bucks,MIL Bucks,ORL Magic,2025-01-11T00:10:00Z,-244,211
PHI 76ers v NO Pelicans,NO Pelicans,PHI 76ers,2025-01-11T00:10:00Z,173,-196
BOS Celtics v SAC Kings,SAC Kings,BOS Celtics,2025-01-11T00:40:00Z,370,-460
NY Knicks v OKC Thunder,OKC Thunder,NY Knicks,2025-01-11T00:40:00Z,-183,162
CHI Bulls v WAS Wizards,WAS Wizards,CHI Bulls,2025-01-11T01:10:00Z,486,-636
DEN Nuggets v BKN Nets,BKN Nets,DEN Nuggets,2025-01-11T02:10:00Z,687,-980
