Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
DET Pistons v MIA Heat,MIA Heat,DET Pistons,2024-12-17T00:00:00Z,-184,162
CHA Hornets v PHI 76ers,PHI 76ers,CHA Hornets,2024-12-17T00:10:00Z,-150,134
BKN Nets v CLE Cavaliers,CLE Cavaliers,BKN Nets,2024-12-17T00:40:00Z,-515,407
TOR Raptors v CHI Bulls,CHI Bulls,TOR Raptors,2024-12-17T00:40:00Z,-122,109
SAC Kings v DEN Nuggets,DEN Nuggets,SAC Kings,2024-12-17T03:10:00Z,109,-121
LA Clippers v UTA Jazz,UTA Jazz,LA Clippers,2024-12-17T03:40:00Z,282,-337
