Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
IND Pacers v CLE Cavaliers,IND Pacers,CLE Cavaliers,2025-05-16T00:00:00Z,N/A,N/A
DEN Nuggets v OKC Thunder,DEN Nuggets,OKC Thunder,2025-05-16T00:30:00Z,2.543,1.574
NY Knicks v BOS Celtics,NY Knicks,BOS Celtics,2025-05-17T00:00:00Z,1.729,2.223
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-17T23:00:00Z,N/A,N/A
OKC Thunder v DEN Nuggets,OKC Thunder,DEN Nuggets,2025-05-18T19:30:00Z,N/A,N/A
CLE Cavaliers v IND Pacers,CLE Cavaliers,IND Pacers,2025-05-18T23:00:00Z,N/A,N/A
GS Warriors v MIN Timberwolves,GS Warriors,MIN Timberwolves,2025-05-19T00:00:00Z,N/A,N/A
BOS Celtics v NY Knicks,BOS Celtics,NY Knicks,2025-05-20T00:00:00Z,N/A,N/A
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-05-21T00:30:00Z,N/A,N/A
