Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
PHI 76ers v ORL Magic,ORL Magic,PHI 76ers,2024-12-07T00:10:00Z,-166,147
ATL Hawks v LAL Lakers,LAL Lakers,ATL Hawks,2024-12-07T00:40:00Z,180,-205
BOS Celtics v MIL Bucks,MIL Bucks,BOS Celtics,2024-12-07T00:40:00Z,277,-331
CHI Bulls v IND Pacers,IND Pacers,CHI Bulls,2024-12-07T01:10:00Z,-152,135
SA Spurs v SAC Kings,SAC Kings,SA Spurs,2024-12-07T01:10:00Z,-223,194
GS Warriors v MIN Timberwolves,MIN Timberwolves,GS Warriors,2024-12-07T03:00:00Z,-110,-101
POR Trail Blazers v UTA Jazz,UTA Jazz,POR Trail Blazers,2024-12-07T03:10:00Z,122,-137
MIL Bucks v ORL Magic,ORL Magic,MIL Bucks,2024-12-10T23:00:00Z,166,-227
OKC Thunder v DAL Mavericks,DAL Mavericks,OKC Thunder,2024-12-11T02:30:00Z,160,-217
NY Knicks v ATL Hawks,ATL Hawks,NY Knicks,2024-12-11T23:00:00Z,0,0
HOU Rockets v GS Warriors,GS Warriors,HOU Rockets,2024-12-12T02:30:00Z,0,0
