Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
ORL Magic v NY Knicks,ORL Magic,NY Knicks,2024-12-28T00:10:00Z,3.301,1.371
BKN Nets v SA Spurs,BKN Nets,SA Spurs,2024-12-28T00:40:00Z,3.331,1.366
BOS Celtics v IND Pacers,BOS Celtics,IND Pacers,2024-12-28T00:40:00Z,1.149,6.055
NO Pelicans v MEM Grizzlies,NO Pelicans,MEM Grizzlies,2024-12-28T01:00:00Z,4.179,1.258
HOU Rockets v MIN Timberwolves,HOU Rockets,MIN Timberwolves,2024-12-28T01:10:00Z,1.864,2.035
DEN Nuggets v CLE Cavaliers,DEN Nuggets,CLE Cavaliers,2024-12-28T02:10:00Z,2.274,1.699
PHX Suns v DAL Mavericks,PHX Suns,DAL Mavericks,2024-12-28T02:10:00Z,1.895,2.005
LA Clippers v GS Warriors,LA Clippers,GS Warriors,2024-12-28T03:10:00Z,1.563,2.562
