Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHI Bulls v PHI 76ers,PHI 76ers,CHI Bulls,2024-12-08T18:10:00Z,116,-137
BKN Nets v MIL Bucks,MIL Bucks,BKN Nets,2024-12-08T20:40:00Z,-227,197
IND Pacers v CHA Hornets,CHA Hornets,IND Pacers,2024-12-08T22:10:00Z,470,-613
MIA Heat v CLE Cavaliers,CLE Cavaliers,MIA Heat,2024-12-08T23:00:00Z,-144,128
ATL Hawks v DEN Nuggets,DEN Nuggets,ATL Hawks,2024-12-08T23:10:00Z,113,-126
ORL Magic v PHX Suns,PHX Suns,ORL Magic,2024-12-08T23:40:00Z,118,-132
SA Spurs v NO Pelicans,NO Pelicans,SA Spurs,2024-12-09T00:10:00Z,193,-222
WAS Wizards v MEM Grizzlies,MEM Grizzlies,WAS Wizards,2024-12-09T00:10:00Z,-531,418
GS Warriors v MIN Timberwolves,MIN Timberwolves,GS Warriors,2024-12-09T01:40:00Z,-104,-106
LA Clippers v HOU Rockets,HOU Rockets,LA Clippers,2024-12-09T02:10:00Z,-163,145
SAC Kings v UTA Jazz,UTA Jazz,SAC Kings,2024-12-09T02:10:00Z,501,-662
LAL Lakers v POR Trail Blazers,POR Trail Blazers,LAL Lakers,2024-12-09T02:40:00Z,335,-413
MIL Bucks v ORL Magic,ORL Magic,MIL Bucks,2024-12-11T00:00:00Z,319,-500
OKC Thunder v DAL Mavericks,DAL Mavericks,OKC Thunder,2024-12-11T02:30:00Z,160,-217
NY Knicks v ATL Hawks,ATL Hawks,NY Knicks,2024-12-12T00:00:00Z,273,-400
HOU Rockets v GS Warriors,GS Warriors,HOU Rockets,2024-12-12T02:30:00Z,118,-156
