Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
DET Pistons v CHA Hornets,CHA Hornets,DET Pistons,2025-01-04T00:10:00Z,228,-265
TOR Raptors v ORL Magic,ORL Magic,TOR Raptors,2025-01-04T00:40:00Z,-114,103
HOU Rockets v BOS Celtics,BOS Celtics,HOU Rockets,2025-01-04T01:10:00Z,-125,112
NO Pelicans v WAS Wizards,WAS Wizards,NO Pelicans,2025-01-04T01:10:00Z,244,-286
OKC Thunder v NY Knicks,NY Knicks,OKC Thunder,2025-01-04T01:10:00Z,159,-180
DAL Mavericks v CLE Cavaliers,CLE Cavaliers,DAL Mavericks,2025-01-04T01:40:00Z,-278,238
DEN Nuggets v SA Spurs,SA Spurs,DEN Nuggets,2025-01-04T02:10:00Z,207,-239
SAC Kings v MEM Grizzlies,MEM Grizzlies,SAC Kings,2025-01-04T03:10:00Z,131,-147
LA Lakers v ATL Hawks,ATL Hawks,LA Lakers,2025-01-04T03:40:00Z,127,-142
