Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
CHA Hornets v PHX Suns,CHA Hornets,PHX Suns,2025-01-08T00:10:00Z,2.563,1.567
WAS Wizards v HOU Rockets,WAS Wizards,HOU Rockets,2025-01-08T00:10:00Z,6.404,1.138
DAL Mavericks v LA Lakers,DAL Mavericks,LA Lakers,2025-01-08T00:35:00Z,3.132,1.405
NO Pelicans v MIN Timberwolves,NO Pelicans,MIN Timberwolves,2025-01-08T01:00:00Z,2.673,1.527
UTA Jazz v ATL Hawks,UTA Jazz,ATL Hawks,2025-01-08T02:10:00Z,3.092,1.412
DEN Nuggets v BOS Celtics,DEN Nuggets,BOS Celtics,2025-01-08T03:05:00Z,N/A,N/A
GS Warriors v MIA Heat,GS Warriors,MIA Heat,2025-01-08T03:10:00Z,1.257,4.187
CLE Cavaliers v OKC Thunder,CLE Cavaliers,OKC Thunder,2025-01-09T00:10:00Z,1.72,2.05
