Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHA Hornets v ORL Magic,ORL Magic,CHA Hornets,2024-11-26T00:10:00Z,-207.0,181.0
DET Pistons v TOR Raptors,TOR Raptors,DET Pistons,2024-11-26T00:10:00Z,173.0,-196.0
IND Pacers v NOP Pelicans,NOP Pelicans,IND Pacers,2024-11-26T00:10:00Z,227.0,-263.0
ATL Hawks v DAL Mavericks,DAL Mavericks,ATL Hawks,2024-11-26T00:40:00Z,127.0,-142.0
BOS Celtics v LA Clippers,LA Clippers,BOS Celtics,2024-11-26T00:40:00Z,391.0,-492.0
MEM Grizzlies v POR Trail Blazers,POR Trail Blazers,MEM Grizzlies,2024-11-26T01:10:00Z,381.0,-478.0
DEN Nuggets v NYK Knicks,NYK Knicks,DEN Nuggets,2024-11-26T02:10:00Z,142.0,-160.0
GSW Warriors v BKN Nets,BKN Nets,GSW Warriors,2024-11-26T03:10:00Z,607.0,-847.0
SAC Kings v OKC Thunder,OKC Thunder,SAC Kings,2024-11-26T03:10:00Z,-176.0,156.0
WAS Wizards v CHI Bulls,CHI Bulls,WAS Wizards,2024-11-27T00:00:00Z,-185.0,138.0
MIA Heat v MIL Bucks,MIL Bucks,MIA Heat,2024-11-27T00:30:00Z,-103.0,-128.0
MIN Timberwolves v HOU Rockets,HOU Rockets,MIN Timberwolves,2024-11-27T01:00:00Z,127.0,-172.0
UTA Jazz v SAS Spurs,SAS Spurs,UTA Jazz,2024-11-27T02:00:00Z,-144.0,108.0
PHX Suns v LAL Lakers,LAL Lakers,PHX Suns,2024-11-27T03:00:00Z,-108.0,-121.0
DAL Mavericks v MEM Grizzlies,MEM Grizzlies,DAL Mavericks,2024-12-04T01:30:00Z,,
