Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
MIA Heat v TOR Raptors,TOR Raptors,MIA Heat,2024-12-13T00:30:00Z,363,-450
BOS Celtics v DET Pistons,DET Pistons,BOS Celtics,2024-12-13T00:40:00Z,0,0
NO Pelicans v SAC Kings,SAC Kings,NO Pelicans,2024-12-13T01:10:00Z,-265,227
CLE Cavaliers v WAS Wizards,WAS Wizards,CLE Cavaliers,2024-12-14T00:10:00Z,877,-3333
PHI 76ers v IND Pacers,IND Pacers,PHI 76ers,2024-12-14T00:10:00Z,172,-238
MIN Timberwolves v LA Lakers,LA Lakers,MIN Timberwolves,2024-12-14T01:00:00Z,216,-303
CHI Bulls v CHA Hornets,CHA Hornets,CHI Bulls,2024-12-14T01:10:00Z,162,-222
MEM Grizzlies v BKN Nets,BKN Nets,MEM Grizzlies,2024-12-14T01:10:00Z,359,-588
DEN Nuggets v LA Clippers,LA Clippers,DEN Nuggets,2024-12-14T02:00:00Z,202,-285
UTA Jazz v PHX Suns,PHX Suns,UTA Jazz,2024-12-14T02:40:00Z,-217,160
POR Trail Blazers v SA Spurs,SA Spurs,POR Trail Blazers,2024-12-14T03:10:00Z,-163,123
MIL Bucks v ATL Hawks,ATL Hawks,MIL Bucks,2024-12-14T21:30:00Z,125,-169
OKC Thunder v HOU Rockets,HOU Rockets,OKC Thunder,2024-12-15T01:30:00Z,164,-222
