Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
OKC Thunder v BOS Celtics,BOS Celtics,OKC Thunder,2025-01-05T20:40:00Z,108,-120
CLE Cavaliers v CHA Hornets,CHA Hornets,CLE Cavaliers,2025-01-05T23:10:00Z,848,-1249
WAS Wizards v NO Pelicans,NO Pelicans,WAS Wizards,2025-01-05T23:10:00Z,-201,177
ORL Magic v UTA Jazz,UTA Jazz,ORL Magic,2025-01-05T23:40:00Z,256,-302
HOU Rockets v LA Lakers,LA Lakers,HOU Rockets,2025-01-06T00:10:00Z,158,-179
GS Warriors v SAC Kings,SAC Kings,GS Warriors,2025-01-06T01:40:00Z,127,-142
