Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
MIA Heat v SA Spurs,MIA Heat,SA Spurs,2025-01-19T20:00:00Z,1.666,2.334
ORL Magic v DEN Nuggets,ORL Magic,DEN Nuggets,2025-01-19T23:00:00Z,3.521,1.337
MIL Bucks v PHI 76ers,MIL Bucks,PHI 76ers,2025-01-20T00:00:00Z,1.137,6.424
OKC Thunder v BKN Nets,OKC Thunder,BKN Nets,2025-01-20T00:00:00Z,1.079,9.576
LA Clippers v LA Lakers,LA Clippers,LA Lakers,2025-01-20T02:00:00Z,1.587,2.513
POR Trail Blazers v CHI Bulls,POR Trail Blazers,CHI Bulls,2025-01-20T02:00:00Z,3.052,1.421
SAC Kings v WAS Wizards,SAC Kings,WAS Wizards,2025-01-20T02:00:00Z,1.064,11.103
