Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
DET Pistons v UTA Jazz,UTA Jazz,DET Pistons,2024-12-20T00:00:00Z,150,-204
ORL Magic v OKC Thunder,OKC Thunder,ORL Magic,2024-12-20T00:00:00Z,-238,173
WAS Wizards v CHA Hornets,CHA Hornets,WAS Wizards,2024-12-20T00:00:00Z,-169,127
BOS Celtics v CHI Bulls,CHI Bulls,BOS Celtics,2024-12-20T00:30:00Z,578,-1249
TOR Raptors v BKN Nets,BKN Nets,TOR Raptors,2024-12-20T00:30:00Z,154,-208
HOU Rockets v NO Pelicans,NO Pelicans,HOU Rockets,2024-12-20T01:00:00Z,334,-526
MEM Grizzlies v GS Warriors,GS Warriors,MEM Grizzlies,2024-12-20T01:00:00Z,127,-169
SA Spurs v ATL Hawks,ATL Hawks,SA Spurs,2024-12-20T01:00:00Z,-117,-112
DAL Mavericks v LA Clippers,LA Clippers,DAL Mavericks,2024-12-20T01:30:00Z,209,-294
PHX Suns v IND Pacers,IND Pacers,PHX Suns,2024-12-20T02:00:00Z,208,-294
MIN Timberwolves v NY Knicks,NY Knicks,MIN Timberwolves,2024-12-20T02:30:00Z,102,-136
POR Trail Blazers v DEN Nuggets,DEN Nuggets,POR Trail Blazers,2024-12-20T03:00:00Z,-384,261
SAC Kings v LA Lakers,LA Lakers,SAC Kings,2024-12-20T03:00:00Z,127,-172
