Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHA Hornets v CLE Cavaliers,CLE Cavaliers,CHA Hornets,2024-12-07T18:00:00Z,-1666,1039
NO Pelicans v OKC Thunder,OKC Thunder,NO Pelicans,2024-12-08T00:10:00Z,-327,274
WAS Wizards v DEN Nuggets,DEN Nuggets,WAS Wizards,2024-12-08T00:10:00Z,-884,635
NY Knicks v DET Pistons,DET Pistons,NY Knicks,2024-12-08T00:40:00Z,288,-344
TOR Raptors v DAL Mavericks,DAL Mavericks,TOR Raptors,2024-12-08T00:40:00Z,-349,290
MIA Heat v PHX Suns,PHX Suns,MIA Heat,2024-12-08T01:00:00Z,185,-211
BOS Celtics v MEM Grizzlies,MEM Grizzlies,BOS Celtics,2024-12-08T01:10:00Z,227,-263
MIL Bucks v ORL Magic,ORL Magic,MIL Bucks,2024-12-10T23:00:00Z,163,-222
OKC Thunder v DAL Mavericks,DAL Mavericks,OKC Thunder,2024-12-11T02:30:00Z,160,-217
NY Knicks v ATL Hawks,ATL Hawks,NY Knicks,2024-12-12T00:00:00Z,274,-400
HOU Rockets v GS Warriors,GS Warriors,HOU Rockets,2024-12-12T02:30:00Z,112,-151
