Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:00:00Z,340,-436
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:10:00Z,138,-156
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26T03:40:00Z,-141,126
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-26T04:00:00Z,177,-207
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-26T04:00:00Z,304,-383
