Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
DET Pistons v ORL Magic,ORL Magic,DET Pistons,2025-01-02T00:10:00Z,111,-124
WAS Wizards v CHI Bulls,CHI Bulls,WAS Wizards,2025-01-02T00:10:00Z,-224,195
MIA Heat v NO Pelicans,NO Pelicans,MIA Heat,2025-01-02T00:30:00Z,300,-362
NY Knicks v UTA Jazz,UTA Jazz,NY Knicks,2025-01-02T00:40:00Z,589,-806
TOR Raptors v BKN Nets,BKN Nets,TOR Raptors,2025-01-02T00:40:00Z,114,-127
HOU Rockets v DAL Mavericks,DAL Mavericks,HOU Rockets,2025-01-02T01:10:00Z,173,-196
DEN Nuggets v ATL Hawks,ATL Hawks,DEN Nuggets,2025-01-02T02:10:00Z,205,-236
SAC Kings v PHI 76ers,PHI 76ers,SAC Kings,2025-01-02T03:10:00Z,218,-253
