Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
DAL Mavericks v DEN Nuggets,DEN Nuggets,DAL Mavericks,2025-01-12T20:10:00Z,-225,196
NY Knicks v MIL Bucks,MIL Bucks,NY Knicks,2025-01-12T20:10:00Z,157,-177
CHI Bulls v SAC Kings,SAC Kings,CHI Bulls,2025-01-12T20:40:00Z,-162,143
WAS Wizards v OKC Thunder,OKC Thunder,WAS Wizards,2025-01-12T23:00:00Z,-1351,900
BOS Celtics v NO Pelicans,NO Pelicans,BOS Celtics,2025-01-12T23:10:00Z,791,-1136
CLE Cavaliers v IND Pacers,IND Pacers,CLE Cavaliers,2025-01-12T23:10:00Z,318,-389
ORL Magic v PHI 76ers,PHI 76ers,ORL Magic,2025-01-12T23:10:00Z,-107,-103
UTA Jazz v BKN Nets,BKN Nets,UTA Jazz,2025-01-13T01:10:00Z,159,-180
PHX Suns v CHA Hornets,CHA Hornets,PHX Suns,2025-01-13T02:10:00Z,247,-290
