Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
PHI 76ers v NY Knicks,PHI 76ers,NY Knicks,2025-01-16T00:00:00Z,N/A,N/A
TOR Raptors v BOS Celtics,TOR Raptors,BOS Celtics,2025-01-16T00:30:00Z,8.289,1.097
CHI Bulls v ATL Hawks,CHI Bulls,ATL Hawks,2025-01-16T01:00:00Z,1.764,2.164
NO Pelicans v DAL Mavericks,NO Pelicans,DAL Mavericks,2025-01-16T01:00:00Z,2.184,1.752
MIL Bucks v ORL Magic,MIL Bucks,ORL Magic,2025-01-16T01:10:00Z,1.461,2.902
DEN Nuggets v HOU Rockets,DEN Nuggets,HOU Rockets,2025-01-16T02:10:00Z,1.849,2.054
UTA Jazz v CHA Hornets,UTA Jazz,CHA Hornets,2025-01-16T02:10:00Z,2.743,1.503
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2025-01-16T02:40:00Z,1.422,3.041
SA Spurs v MEM Grizzlies,SA Spurs,MEM Grizzlies,2025-01-16T02:40:00Z,2.243,1.718
LA Lakers v MIA Heat,LA Lakers,MIA Heat,2025-01-16T03:10:00Z,1.515,2.702
LA Clippers v BKN Nets,LA Clippers,BKN Nets,2025-01-16T03:40:00Z,1.113,7.268
