Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
SAC Kings v LA Lakers,SAC Kings,LA Lakers,2024-12-21T23:10:00Z,1.503,2.753
ORL Magic v MIA Heat,ORL Magic,MIA Heat,2024-12-22T00:10:00Z,1.719,2.244
ATL Hawks v MEM Grizzlies,ATL Hawks,MEM Grizzlies,2024-12-22T00:40:00Z,2.005,1.887
BKN Nets v UTA Jazz,BKN Nets,UTA Jazz,2024-12-22T00:40:00Z,1.788,2.134
CHI Bulls v BOS Celtics,CHI Bulls,BOS Celtics,2024-12-22T01:10:00Z,6.364,1.139
CLE Cavaliers v PHI 76ers,CLE Cavaliers,PHI 76ers,2024-12-22T01:10:00Z,1.181,5.327
MIL Bucks v WAS Wizards,MIL Bucks,WAS Wizards,2024-12-22T01:10:00Z,1.16,5.785
MIN Timberwolves v GS Warriors,MIN Timberwolves,GS Warriors,2024-12-22T01:10:00Z,1.657,2.354
NO Pelicans v NY Knicks,NO Pelicans,NY Knicks,2024-12-22T01:10:00Z,3.581,1.328
DAL Mavericks v LA Clippers,DAL Mavericks,LA Clippers,2024-12-22T01:40:00Z,1.621,2.434
SA Spurs v POR Trail Blazers,SA Spurs,POR Trail Blazers,2024-12-22T01:40:00Z,1.377,3.272
PHX Suns v DET Pistons,PHX Suns,DET Pistons,2024-12-22T02:10:00Z,1.419,3.062
NY Knicks v SA Spurs,NY Knicks,SA Spurs,2024-12-25T17:00:00Z,1.24,3.83
DAL Mavericks v MIN Timberwolves,DAL Mavericks,MIN Timberwolves,2024-12-25T19:30:00Z,1.58,2.29
BOS Celtics v PHI 76ers,BOS Celtics,PHI 76ers,2024-12-25T22:00:00Z,1.24,3.84
GS Warriors v LA Lakers,GS Warriors,LA Lakers,2024-12-26T01:00:00Z,1.49,2.51
